CategoryName;ItemId
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_soundsenabled
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_showinnotificationcenter
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_notificationsenabled
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_criticalalertenabled
User Experience > Notifications;com.apple.notificationsettings_notificationsettings
User Experience > Notifications;com.apple.notificationsettings_com.apple.notificationsettings
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_showinlockscreen
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_alerttype
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_badgesenabled
Web > Web Content Filter;com.apple.webcontent-filter_organization
Web > Web Content Filter;com.apple.webcontent-filter_username
Web > Web Content Filter;com.apple.webcontent-filter_pluginbundleid
Web > Web Content Filter;com.apple.webcontent-filter_allowlistbookmarks_item_title
Web > Web Content Filter;com.apple.webcontent-filter_serveraddress
Web > Web Content Filter;com.apple.webcontent-filter_password
Web > Web Content Filter;com.apple.webcontent-filter_com.apple.webcontent-filter
Web > Web Content Filter;com.apple.webcontent-filter_filtersockets
Web > Web Content Filter;com.apple.webcontent-filter_userdefinedname
Web > Web Content Filter;com.apple.webcontent-filter_allowlistbookmarks_item_url
Web > Web Content Filter;com.apple.webcontent-filter_filtertype
Accounts > CardDAV;com.apple.carddav.account_carddavprincipalurl
Accounts Subscribed Calendars;com.apple.subscribedcalendar.account_subcalaccountusername
Accounts Subscribed Calendars;com.apple.subscribedcalendar.account_subcalaccountdescription
Accounts Subscribed Calendars;com.apple.subscribedcalendar.account_subcalaccountusessl
Accounts Subscribed Calendars;com.apple.subscribedcalendar.account_subcalaccounthostname
Accounts Subscribed Calendars;com.apple.subscribedcalendar.account_subcalaccountpassword
Accounts Subscribed Calendars;com.apple.subscribedcalendar.account_com.apple.subscribedcalendar.account
AirPlay > AirPlay;com.apple.airplay_passwords_item_devicename
App Management > App Lock;com.apple.app.lock_app_userenabledoptions_voiceover
App Management > App Lock;com.apple.app.lock_app_options_disablevolumebuttons
App Management > App Lock;com.apple.app.lock_app_options_disableautolock
App Management > App Lock;com.apple.app.lock_app_options_enablezoom
App Management > App Lock;com.apple.app.lock_app_options_disabledevicerotation
App Management > App Lock;com.apple.app.lock_app_userenabledoptions_zoom
App Management > App Lock;com.apple.app.lock_app_options_disabletouch
App Management > App Lock;com.apple.app.lock_app_userenabledoptions_invertcolors
App Management > App Lock;com.apple.app.lock_app
App Management > App Lock;com.apple.app.lock_app_options_enableinvertcolors
App Management > App Lock;com.apple.app.lock_app_userenabledoptions_voicecontrol
App Management > App Lock;com.apple.app.lock_app_options_enablevoicecontrol
App Management > App Lock;com.apple.app.lock_app_userenabledoptions_assistivetouch
App Management > App Lock;com.apple.app.lock_app_options_enableassistivetouch
App Management > App Lock;com.apple.app.lock_app_options_enablespeakselection
App Management > App Lock;com.apple.app.lock_app_options_enablemonoaudio
App Management > App Lock;com.apple.app.lock_app_identifier
App Management > App Lock;com.apple.app.lock_com.apple.app.lock
App Management > App Lock;com.apple.app.lock_app_options_disablesleepwakebutton
App Management > App Lock;com.apple.app.lock_app_options_disableringerswitch
App Management > App Lock;com.apple.app.lock_app_options_enablevoiceover
App Management > App Lock;com.apple.app.lock_app_options
App Management > App Lock;com.apple.app.lock_app_userenabledoptions
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_increasecontrastenabled
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_reducemotionenabled
Managed Settings Accessibility Settings;settings_item_accessibilitysettings
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_boldtextenabled
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_reducetransparencyenabled
Managed Settings Accessibility Settings;settings_item_accessibilitysettings_zoomenabled
